Date,Problem_Reports,Valid_Errors,Wall_Clock_hours
1973/1,8,7,7.25,1
1973/2,22,22,3.17,1
1973/3,33,32,7.08,1
1973/4,51,47,7.33,1
1973/5,28,26,7.25,1
1973/6,26,25,12.58,1
1973/7,16,16,19.92,1
1973/8,48,48,52.50,1
1973/9,39,36,47.18,1
1973/10,57,53,95.10,1
1973/11,63,57,55.75,1
1973/12,43,39,59.25,1
1974/1,77,71,43.58,1
1974/2,83,80,44.75,1
1974/3,68,65,42.33,1
1974/4,65,57,75.00,1
1974/5,96,90,62.83,1
1974/6,62,60,73.58,1
1974/7,65,57,42.75,1
1974/8,97,90,40.67,1
1974/9,51,46,96.75,1
1974/10,64,57,88.58,1
1974/11,36,29,56.75,1
1974/12,42,40,79.25,1
1975/1,18,16,73.50,1
1975/2,21,18,65.33,1
1975/3,39,37,67.83,1
1975/4,15,15,116.92,1
1975/5,8,8,88.08,1
1975/6,28,28,78.08,1
1975/7,7,6,37.92,1
1975/8,5,5,41.08,1
1975/9,3,3,54.50,1
1975/10,3,3,63.00,1
1975/11,12,12,39.50,1
