FID,Date,Release,Severity,UsageMode,ObservedIn
1,1/8/86,REL-H,3,TESTING,REL-I
2,3/14/86,REL-G,3,TESTING,REL-I
3,5/29/86,REL-I,3,TESTING,REL-I
4,7/30/86,REL-A,1,TESTING,REL-H
5,8/14/86,REL-D,3,TESTING,REL-H
6,8/25/86,REL-A,2,TESTING,REL-H
7,8/29/86,REL-F,3,TRAINING,REL-I
8,9/16/86,REL-G,3,TESTING,REL-H
9,10/20/86,REL-A,1,TRAINING,REL-I
10,12/2/86,REL-H,3,TESTING,REL-H
11,1/13/87,REL-H,3,TRAINING,REL-H
12,1/23/87,REL-I,3,TESTING,REL-J
13,2/2/87,REL-I,3,TRAINING,REL-I
14,3/4/87,REL-A,1,TRAINING,REL-I
15,3/14/87,REL-A,3,TESTING,REL-J
16,4/30/87,REL-A,2N,TRAINING,REL-I
17,5/1/87,REL-A,3,TESTING,REL-H
18,7/8/87,REL-A,3,TESTING,REL-K
19,9/17/87,REL-J,1,TESTING,REL-J
20,9/22/87,REL-A,3,TESTING,REL-J
21,10/2/87,REL-J,3,TESTING,REL-J
22,12/15/87,REL-A,4,TESTING,REL-J
23,1/5/88,REL-A,4,TESTING,REL-K
24,1/5/88,REL-A,4,TESTING,REL-K
25,1/13/88,REL-F,4,TRAINING,REL-J
26,2/9/88,REL-A,4,TESTING,REL-K
27,2/15/88,REL-A,4,TRAINING,REL-J
28,2/18/88,REL-A,3,TESTING,REL-K
29,3/21/88,REL-A,2N,TESTING,REL-K
30,4/7/88,REL-A,3,TESTING,REL-L
31,4/9/88,REL-A,3,TESTING,REL-K
32,4/9/88,REL-A,3,TESTING,REL-K
33,4/11/88,REL-H,2N,TESTING,REL-K
34,5/17/88,REL-A,3,TESTING,REL-K
35,5/19/88,REL-A,3,TESTING,REL-K
36,6/21/88,REL-G,3,TESTING,REL-K
37,7/8/88,REL-A,3,TESTING,REL-K
38,7/12/88,REL-A,1N,TRAINING,REL-K
39,8/22/88,REL-A,3,TESTING,REL-K
40,9/30/88,REL-A,3,TRAINING,REL-K
41,10/18/88,REL-A,3,TESTING,REL-K
42,11/2/88,REL-K,3,TESTING,REL-K
43,12/5/88,REL-A,3,TESTING,REL-K
44,2/15/89,REL-A,3,TESTING,REL-M
45,4/11/89,REL-A,1N,TESTING,REL-M
46,4/17/89,REL-A,2,TESTING,REL-L
47,4/24/89,REL-A,3,TESTING,REL-M
48,5/2/89,REL-A,3,FLIGHT,REL-K
49,5/11/89,REL-H,3,TESTING,REL-K
50,5/19/89,REL-A,3,TESTING,REL-M
51,5/19/89,REL-A,3,TESTING,REL-M
52,5/31/89,REL-L,1N,TESTING,REL-L
53,6/5/89,REL-A,1N,TRAINING,REL-K
54,6/15/89,REL-A,2,TESTING,REL-L
55,6/22/89,REL-A,3,TESTING,REL-L
56,7/19/89,REL-G,3,TESTING,REL-O
57,8/17/89,REL-A,3,TESTING,REL-K
58,9/11/89,REL-K,3,TESTING,REL-N
59,9/30/89,REL-A,3,TESTING,REL-N
60,10/3/89,REL-L,3,TRAINING,REL-L
61,10/13/89,REL-A,2N,TESTING,REL-O
62,11/6/89,REL-A,4,TESTING,REL-M
63,11/7/89,REL-A,3,TESTING,REL-O
64,11/15/89,REL-C,3,TRAINING,REL-L
65,1/5/90,REL-A,3,TESTING,REL-O
66,1/23/90,REL-M,3,TESTING,REL-M
67,2/7/90,REL-G,3,TESTING,REL-O
68,2/27/90,REL-A,3,TESTING,REL-N
69,3/2/90,REL-A,3,TESTING,REL-M
70,4/3/90,REL-H,3,TESTING,REL-O
71,4/6/90,REL-L,1N,TRAINING,REL-L
72,4/18/90,REL-A,3,TESTING,REL-O
73,5/8/90,REL-A,3,TRAINING,REL-N
74,6/14/90,REL-A,3,TESTING,REL-O
75,10/3/90,REL-O,3,TESTING,REL-P
76,11/29/90,REL-A,3,TESTING,REL-P
77,1/15/91,REL-O,3,TESTING,REL-P
78,1/17/91,REL-A,3,TESTING,REL-N
79,1/28/91,REL-O,3,TESTING,REL-P
80,1/29/91,REL-G,3,TESTING,REL-N
81,2/19/91,REL-E,3,TESTING,REL-P
82,3/20/91,REL-O,3,TESTING,REL-O
83,3/22/91,REL-O,3,TESTING,REL-O
84,7/19/91,REL-O,3,TESTING,REL-O
85,10/31/91,REL-P,1,TESTING,REL-P
86,11/15/91,REL-O,3,TESTING,REL-P
87,12/9/91,REL-A,3,TRAINING,REL-O
88,2/28/92,REL-A,3,TESTING,REL-O
89,8/3/92,REL-C,3,TESTING,REL-R
90,10/16/92,REL-A,3,TESTING,REL-R
91,12/15/92,REL-A,3,TESTING,REL-R
92,7/1/93,REL-Q,2,TESTING,REL-Q
93,8/1/93,REL-A,3,TESTING,REL-S
94,8/19/93,REL-C,3,TESTING,REL-S
95,1/6/94,REL-A,3,TESTING,REL-S
96,1/13/94,REL-A,3,TESTING,REL-Q
97,3/7/94,REL-A,3,TESTING,REL-S
98,4/7/94,REL-A,3,TRAINING,REL-Q
99,8/5/94,REL-R,3,TESTING,REL-R
100,9/26/94,REL-A,1N,TRAINING,REL-R
