n,x125,x132,x133,x134,x136
1,36,145,59,234,103
2,40,189,73,371,176
3,45,356,101,388,299
4,52,437,154,395,405
5,54,437,147,467,434
6,102,531,173,521,434
7,108,621,199,521,434
8,108,634,210,574,483
9,172,642,352,609,591
10,197,867,418,609,591
11,200,909,431,628,894
12,242,913,581,665,973
13,326,969,597,797,973
14,491,975,630,802,1009
15,514,1154,641,862,1070
16,514,1216,646,1074,1096
17,514,1237,648,1174,1157
18,514,1454,679,1328,1158
19,514,1527,796,1349,1346
20,537,1538,801,1409,1346
21,580,1538,868,1424,1486
22,677,1573,NA,1435,1525
23,678,1959,NA,2295,1960
24,678,2241,NA,2319,1960
25,732,NA,NA,3119,2066
26,779,NA,NA,3803,2133
27,794,NA,NA,3803,2530
