Failure,CPU_sec
1,320
2,14390
3,9000
4,2880
5,5700
6,21800
7,26800
8,113540
9,112137
10,660
11,2700
12,28793
13,2173
14,7263
15,10865
16,4230
17,8460
18,14805
19,11844
20,5361
21,6553
22,6499
23,3124
24,51323
25,17010
26,1890
27,5400
28,62313
29,24826
30,26335
31,363
32,13989
33,15058
34,32377
35,41632
36,4160
37,82040
38,13189
39,3426
40,5833
41,640
42,640
43,2880
44,110
45,22080
46,60654
47,52163
48,12546
49,784
50,10193
51,7841
52,31365
53,24313
54,298890
55,1280
56,22099
57,19150
58,2611
59,39170
60,55794
61,42632
62,267600
63,87074
64,149606
65,14400
66,34560
67,39600
68,334395
69,296015
70,177399
71,214622
72,156400
73,166800
74,10800
75,267000
76,34513
77,7680
78,37667
79,11100
80,187200
81,18000
82,178200
83,144000
84,639200
85,86400
86,288000
87,320
88,57600
89,28800
90,18000
91,88640
92,432000
93,4160
94,3200
95,42800
96,43600
97,10560
98,115200
99,86400
100,57600
101,28800
102,432000
103,345600
104,115200
105,44494
106,10506
107,177240
108,241487
109,143028
110,273564
111,189391
112,172800
113,21600
114,64800
115,302400
116,752188
117,86400
118,100800
119,19440
120,115200
121,64800
122,3600
123,230400
124,583200
125,259200
126,183600
127,3600
128,144000
129,14400
130,86400
131,110100
132,28800
133,43200
134,57600
135,468000
136,950400
137,400400
138,883800
139,273600
140,432000
141,864000
142,202600
143,203400
144,277680
145,105000
146,580080
147,4533960
148,432000
149,1411200
150,172800
151,86400
152,1123200
153,1555200
154,777600
155,1296000
156,1872000
157,335600
158,921600
159,1036800
160,1728000
161,777600
162,57600
163,17280
