Day,DefectType
1,"Assn/Ck/alg"
6,"Assn/Ck/alg"
6,"Misc"
6,"Assn/Ck/alg"
6,"Misc"
6,"Assn/Ck/alg"
6,"Misc"
6,"Assn/Ck/alg"
6,"Assn/Ck/alg"
6,"Misc"
7,"Misc"
7,"Misc"
7,"Misc"
7,"Function"
7,"Assn/Ck/alg"
7,"Assn/Ck/alg"
7,"Misc"
7,"Assn/Ck/alg"
7,"Function"
7,"Function"
8,"Misc"
8,"Assn/Ck/alg"
8,"Misc"
8,"Misc"
8,"Misc"
8,"Misc"
8,"Misc"
8,"Assn/Ck/alg"
8,"Assn/Ck/alg"
8,"Misc"
8,"Misc"
8,"Misc"
8,"Misc"
9,"Assn/Ck/alg"
9,"Assn/Ck/alg"
9,"Assn/Ck/alg"
9,"Misc"
10,"Assn/Ck/alg"
11,"Misc"
11,"Misc"
11,"Misc"
11,"Misc"
11,"Assn/Ck/alg"
11,"Misc"
11,"Misc"
11,"Misc"
11,"Misc"
11,"Misc"
11,"Assn/Ck/alg"
11,"Assn/Ck/alg"
12,"Misc"
12,"Assn/Ck/alg"
12,"Misc"
12,"Misc"
12,"Assn/Ck/alg"
12,"Misc"
12,"Misc"
12,"Misc"
12,"Misc"
12,"Misc"
12,"Misc"
12,"Misc"
12,"Misc"
12,"Misc"
12,"Misc"
12,"Function"
12,"Misc"
12,"Misc"
13,"Misc"
13,"Misc"
13,"Assn/Ck/alg"
13,"Assn/Ck/alg"
13,"Misc"
13,"Assn/Ck/alg"
14,"Assn/Ck/alg"
14,"Function"
14,"Misc"
14,"Misc"
14,"Function"
14,"Misc"
14,"Assn/Ck/alg"
14,"Assn/Ck/alg"
14,"Assn/Ck/alg"
14,"Misc"
14,"Misc"
14,"Misc"
14,"Misc"
14,"Misc"
14,"Misc"
14,"Misc"
14,"Misc"
15,"Misc"
15,"Misc"
15,"Assn/Ck/alg"
15,"Assn/Ck/alg"
15,"Assn/Ck/alg"
15,"Misc"
15,"Misc"
15,"Misc"
15,"Assn/Ck/alg"
15,"Assn/Ck/alg"
15,"Assn/Ck/alg"
18,"Misc"
19,"Misc"
19,"Function"
19,"Misc"
19,"Misc"
19,"Assn/Ck/alg"
19,"Function"
19,"Misc"
19,"Misc"
20,"Assn/Ck/alg"
20,"Misc"
20,"Misc"
20,"Misc"
20,"Assn/Ck/alg"
20,"Misc"
20,"Misc"
20,"Misc"
20,"Misc"
20,"Misc"
20,"Function"
20,"Misc"
20,"Misc"
20,"Assn/Ck/alg"
21,"Assn/Ck/alg"
21,"Misc"
21,"Assn/Ck/alg"
21,"Misc"
21,"Assn/Ck/alg"
21,"Assn/Ck/alg"
21,"Function"
21,"Assn/Ck/alg"
21,"Assn/Ck/alg"
21,"Assn/Ck/alg"
21,"Misc"
21,"Assn/Ck/alg"
21,"Assn/Ck/alg"
21,"Assn/Ck/alg"
22,"Misc"
22,"Assn/Ck/alg"
22,"Misc"
22,"Function"
22,"Assn/Ck/alg"
22,"Assn/Ck/alg"
22,"Misc"
22,"Assn/Ck/alg"
22,"Assn/Ck/alg"
22,"Assn/Ck/alg"
22,"Assn/Ck/alg"
23,"Misc"
23,"Misc"
23,"Function"
23,"Assn/Ck/alg"
23,"Function"
23,"Assn/Ck/alg"
23,"Assn/Ck/alg"
24,"Assn/Ck/alg"
24,"Function"
24,"Assn/Ck/alg"
25,"Assn/Ck/alg"
25,"Assn/Ck/alg"
25,"Assn/Ck/alg"
25,"Assn/Ck/alg"
25,"Misc"
25,"Misc"
25,"Assn/Ck/alg"
25,"Assn/Ck/alg"
25,"Misc"
25,"Misc"
25,"Misc"
26,"Assn/Ck/alg"
26,"Assn/Ck/alg"
26,"Misc"
26,"Misc"
26,"Assn/Ck/alg"
26,"Assn/Ck/alg"
26,"Misc"
26,"Assn/Ck/alg"
26,"Misc"
26,"Assn/Ck/alg"
27,"Misc"
27,"Misc"
27,"Misc"
27,"Assn/Ck/alg"
27,"Function"
27,"Function"
27,"Function"
27,"Assn/Ck/alg"
27,"Function"
27,"Misc"
27,"Misc"
27,"Misc"
27,"Function"
27,"Function"
27,"Misc"
27,"Assn/Ck/alg"
27,"Function"
28,"Misc"
28,"Assn/Ck/alg"
28,"Assn/Ck/alg"
28,"Function"
28,"Assn/Ck/alg"
28,"Assn/Ck/alg"
28,"Assn/Ck/alg"
28,"Assn/Ck/alg"
28,"Assn/Ck/alg"
28,"Misc"
28,"Assn/Ck/alg"
28,"Misc"
28,"Assn/Ck/alg"
28,"Misc"
28,"Assn/Ck/alg"
28,"Misc"
28,"Assn/Ck/alg"
28,"Misc"
28,"Function"
28,"Assn/Ck/alg"
28,"Assn/Ck/alg"
28,"Misc"
28,"Misc"
28,"Misc"
