Open_Date,Defect_Type,Missing_Incorrect,Defect_Trigger,Close_Date,Sequence
"1991-05-28","Function","Missing","Rare Situation","",1
"1991-08-06","Interface","Incorrect","Operational Semantics","",2
"1991-06-25","Interface","Missing","Operational Semantics","",3
"1991-08-08","Interface","Incorrect","Operational Semantics","",4
"1991-06-26","Function","Incorrect","Operational Semantics","",5
"1991-08-27","Timing/Serialize","Missing","Backward Compatibility","",6
"1991-07-08","Interface","Missing","Operational Semantics","",7
"1991-08-28","Interface","Incorrect","Operational Semantics","",8
"1991-07-08","Function","Missing","Operational Semantics","",9
"1991-08-28","Interface","Incorrect","Operational Semantics","",10
"1991-07-08","Interface","Incorrect","Operational Semantics","",11
"1991-08-29","Interface","Missing","Operational Semantics","",12
"1991-07-09","Function","Incorrect","Rare Situation","",13
"1991-08-29","Function","Missing","Operational Semantics","",14
"1991-07-09","Interface","Incorrect","Operational Semantics","",15
"1991-09-04","Interface","Missing","Operational Semantics","",16
"1991-07-09","Documents","Incorrect","Document Consistency","",17
"1991-09-05","Algorithm","Incorrect","Operational Semantics","",18
"1991-07-12","Interface","Incorrect","Operational Semantics","",19
"1991-09-16","Documents","Incorrect","Operational Semantics","",20
"1991-07-12","Function","Incorrect","Operational Semantics","",21
"1991-10-01","Documents","Incorrect","Operational Semantics","",22
"1991-07-18","Documents","Missing","Document Consistency","",23
"1991-10-07","Algorithm","Incorrect","Backward Compatibility","",24
"1991-07-18","Interface","Missing","Operational Semantics","",25
"1991-10-08","Function","Missing","Operational Semantics","",26
"1991-07-18","Interface","Missing","Operational Semantics","",27
"1991-10-08","Function","Incorrect","Operational Semantics","",28
"1991-07-18","Documents","Incorrect","Document Consistency","",29
"1991-10-08","Function","Missing","Operational Semantics","",30
"1991-07-22","Interface","Missing","Operational Semantics","",31
"1991-10-11","Algorithm","Incorrect","Design Conformance","",32
"1991-07-24","Function","Incorrect","Backward Compatibility","",33
"1991-10-11","Interface","Missing","Operational Semantics","",34
"1991-08-07","Documents","Missing","Operational Semantics","",35
"1991-10-21","Function","Incorrect","Operational Semantics","",36
"1991-08-19","Interface","Missing","Operational Semantics","",37
"1991-11-01","Interface","Missing","Design Conformance","",38
"1991-08-19","Documents","Missing","Document Consistency","",39
"1991-11-18","Function","Incorrect","Operational Semantics","",40
"1991-08-20","Algorithm","Incorrect","Operational Semantics","",41
"1991-11-19","Algorithm","Incorrect","Operational Semantics","",42
"1991-08-20","Interface","Missing","Operational Semantics","",43
"1991-08-20","Documents","Missing","Operational Semantics","",44
"1991-07-24","Interface","Missing","Operational Semantics","",45
"1991-08-03","Interface","Incorrect","Backward Compatibility","",46
"1991-08-06","Interface","Incorrect","Operational Semantics","",47
"1991-07-22","Documents","Incorrect","Document Consistency","",48
"1991-08-07","Documents","Missing","Rare Situation","",49
"1991-08-07","Documents","Missing","Rare Situation","",50
"1991-08-27","Documents","Missing","Operational Semantics","",51
"1991-11-18","Documents","Incorrect","Operational Semantics","",52
"1991-09-04","Timing/Serialize","Incorrect","Operational Semantics","",53
"1991-05-28","Documents","Incorrect","Document Consistency","",54
"1991-05-28","Interface","Incorrect","Operational Semantics","",55
"1991-05-28","Function","Incorrect","Design Conformance","",56
"1991-05-28","Function","Missing","Rare Situation","",57
"1991-05-28","Documents","Missing","Operational Semantics","",58
"1991-05-28","Timing/Serialize","Missing","Operational Semantics","",59
"1991-05-28","Documents","Incorrect","Document Consistency","",60
"1991-05-28","Documents","Missing","Document Consistency","",61
"1991-05-28","Function","Incorrect","Design Conformance","",62
"1991-05-28","Algorithm","Missing","Operational Semantics","",63
"1991-05-28","Documents","Missing","Document Consistency","",64
"1991-05-28","Function","Incorrect","Design Conformance","",65
"1991-05-28","Documents","Missing","Operational Semantics","",66
"1991-05-28","Function","Incorrect","Design Conformance","",67
"1991-05-28","Function","Incorrect","Backward Compatibility","",68
"1991-05-28","Documents","Incorrect","Document Consistency","",69
"1991-05-28","Function","Incorrect","Design Conformance","",70
"1991-05-28","Documents","Missing","Operational Semantics","",71
"1991-05-28","Documents","Missing","Operational Semantics","",72
"1991-05-28","Function","Incorrect","Design Conformance","",73
"1991-05-28","Documents","Missing","Operational Semantics","",74
"1991-05-28","Documents","Missing","Operational Semantics","",75
"1991-05-28","Documents","Missing","Operational Semantics","",76
"1991-05-28","Function","Incorrect","Operational Semantics","",77
"1991-05-28","Documents","Missing","Design Conformance","",78
"1991-05-28","Documents","Incorrect","Document Consistency","",79
"1991-05-28","Documents","Missing","Document Consistency","",80
"1991-05-28","Function","Missing","Operational Semantics","",81
"1991-05-28","Function","Missing","Design Conformance","",82
"1991-05-28","Function","Incorrect","Operational Semantics","",83
"1991-05-28","Documents","Incorrect","Operational Semantics","",84
"1991-05-28","Documents","Missing","Operational Semantics","",85
"1991-05-28","Documents","Missing","Document Consistency","",86
"1992-05-21","Documents","Missing","Concurrency","1992-11-25",87
"1992-05-21","Function","Incorrect","Backward Compatibility","1992-11-25",88
"1992-05-21","Algorithm","Missing","Lateral Compatibility","1992-11-25",89
"1992-05-21","Function","Missing","Lateral Compatibility","1992-11-25",90
"1992-05-21","Documents","Incorrect","Design Conformance","1992-11-25",91
"1992-05-21","Documents","Missing","Lateral Compatibility","1992-11-25",92
