Open_Date,Phase_Found,Defect_Type,Missing_Incorrect,Defect_Source,Defect_Impact,Defect_Trigger,Phase_Injected,Severity,Priority,Close_Date,Defect_Location,Sequence
"1992-09-10","CODE","Function","INCORRECT","PTM/DCR_error","Capability","","CODE","MAJOR","LOW","1992-09-10","CODE",1
"1992-11-06","UT","Algorithm","INCORRECT","New_Funct/Rewritten","Capability","","CODE","MAJOR","LOW","1992-11-06","UTNI",2
"1992-11-06","UT","Checking","MISSING","New_Funct/Rewritten","Capability","","CODE","MAJOR","MED","1992-11-06","UTNI",3
"1992-11-08","CODE","Algorithm","INCORRECT","New_Funct/Rewritten","Capability","Logic Flow","CODE","MAJOR","LOW","1992-11-08","CODE",4
"1993-03-22","CODE","Documents","INCORRECT","New_Funct/Rewritten","Usability","","CODE","MAJOR","LOW","1993-03-22","CODE",5
"1993-03-16","PLD","Documents","INCORRECT","","Usability","","PLD","MAJOR","LOW","1993-03-16","PCMLD",6
"1993-03-16","PLD","Documents","INCORRECT","","Usability","","PLD","MAJOR","LOW","1993-03-16","PCMLD",7
"1993-03-16","PLD","Documents","INCORRECT","","Usability","","PLD","MAJOR","LOW","1993-03-16","PCMLD",8
"1993-01-18","PLD","Interface","MISSING","","Capability","","PLD","MAJOR","MED","1993-01-18","PCMLD",9
"1993-02-25","CODE","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Capability","","CODE","MAJOR","LOW","1993-02-25","CODE",10
"1993-02-25","CODE","Interface","INCORRECT","","Reliability/Avail","Recovery/Exception","MLD","MAJOR","MED","1993-02-25","CODE",11
"1993-03-16","CODE","Function","INCORRECT","New_Funct/Rewritten","Maintain/Service","","CODE","MAJOR","LOW","1993-03-16","CODE",12
"1993-03-16","CODE","Interface","MISSING","Reused_Code","Reliability/Avail","","CODE","MAJOR","LOW","1993-03-16","CODE",13
"1993-03-16","CODE","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","CODE","MAJOR","LOW","1993-03-16","CODE",14
"1993-03-16","CODE","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","CODE","MAJOR","LOW","1993-03-16","CODE",15
"1993-01-22","MLD","Function","MISSING","","Performance","Recovery/Exception","MLD","MAJOR","MED","1993-01-22","PCMLD",16
"1993-01-22","MLD","Interface","INCORRECT","","Capability","","MLD","MAJOR","LOW","1993-01-22","PCMLD",17
"1992-12-17","CLD","Function","MISSING","","Reliability/Avail","Workload Volume/Stress","CLD","MAJOR","HIGH","1992-12-17","PCMLD",18
"1993-03-17","CODE","Function","INCORRECT","New_Funct/Rewritten","Capability","Workload Volume/Stress","CODE","MAJOR","LOW","1993-03-17","CODE",19
"1993-03-17","CODE","Function","INCORRECT","New_Funct/Rewritten","Capability","Workload Volume/Stress","CODE","MAJOR","LOW","1993-03-17","CODE",20
"1993-03-17","CODE","Function","INCORRECT","New_Funct/Rewritten","Capability","Workload Volume/Stress","CODE","MAJOR","MED","1993-03-17","CODE",21
"1993-03-17","CODE","Function","MISSING","New_Funct/Rewritten","Capability","Workload Volume/Stress","CODE","MAJOR","MED","1993-03-17","CODE",22
"1993-03-17","CODE","Function","INCORRECT","New_Funct/Rewritten","Capability","Workload Volume/Stress","CODE","MAJOR","LOW","1993-03-17","CODE",23
"1993-04-27","CODE","Interface","MISSING","New_Funct/Rewritten","Reliability/Avail","Workload Volume/Stress","CODE","MAJOR","LOW","1993-04-27","CODE",24
"1993-04-27","CODE","Checking","MISSING","New_Funct/Rewritten","Reliability/Avail","Workload Volume/Stress","CODE","MAJOR","LOW","1993-04-27","CODE",25
"1993-04-27","CODE","Assignment/Initialization","MISSING","New_Funct/Rewritten","Reliability/Avail","Workload Volume/Stress","CODE","MAJOR","LOW","1993-04-27","CODE",26
"1993-04-27","CODE","Checking","MISSING","Rollup/Parallel_Development","Reliability/Avail","","MLD","MAJOR","LOW","1993-04-27","CODE",27
"1993-03-17","CODE","Function","INCORRECT","New_Funct/Rewritten","Capability","","CODE","MAJOR","LOW","1993-03-17","CODE",28
"1993-03-17","CODE","Function","INCORRECT","New_Funct/Rewritten","Capability","","CODE","MAJOR","MED","1993-03-17","CODE",29
"1993-03-17","CODE","Function","INCORRECT","New_Funct/Rewritten","Capability","","CODE","MAJOR","LOW","1993-03-17","CODE",30
"1993-03-17","CODE","Interface","INCORRECT","New_Funct/Rewritten","Capability","","CODE","MAJOR","MED","1993-03-17","CODE",31
"1993-03-17","CODE","Function","INCORRECT","New_Funct/Rewritten","Usability","","CODE","MAJOR","LOW","1993-03-17","CODE",32
"1993-05-03","CODE","Assignment/Initialization","MISSING","New_Funct/Rewritten","Reliability/Avail","Workload Volume/Stress","CODE","MAJOR","LOW","1993-05-03","CODE",33
"1993-05-03","CODE","Function","MISSING","New_Funct/Rewritten","Reliability/Avail","Workload Volume/Stress","CODE","MAJOR","LOW","1993-05-03","CODE",34
"1993-05-03","CODE","Function","MISSING","New_Funct/Rewritten","Reliability/Avail","Workload Volume/Stress","CODE","MAJOR","LOW","1993-05-03","CODE",35
"1993-05-03","CODE","Function","MISSING","Rollup/Parallel_Development","Reliability/Avail","","MLD","MAJOR","LOW","1993-05-03","CODE",36
"1993-05-03","CODE","Assignment/Initialization","MISSING","New_Funct/Rewritten","Capability","Workload Volume/Stress","CODE","MAJOR","LOW","1993-05-03","CODE",37
"1993-05-03","CODE","Checking","INCORRECT","New_Funct/Rewritten","Reliability/Avail","Workload Volume/Stress","CODE","MAJOR","MED","1993-05-03","CODE",38
"1993-05-03","CODE","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Capability","Workload Volume/Stress","CODE","MAJOR","LOW","1993-05-03","CODE",39
"1993-05-03","CODE","Assignment/Initialization","MISSING","New_Funct/Rewritten","Reliability/Avail","Workload Volume/Stress","CODE","MAJOR","MED","1993-05-03","CODE",40
"1993-03-16","MLD","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Capability","","MLD","MAJOR","LOW","1993-03-16","PCMLD",41
"1993-03-16","MLD","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Usability","","MLD","MAJOR","LOW","1993-03-16","PCMLD",42
"1993-03-18","MLD","Function","MISSING","New_Funct/Rewritten","Capability","","MLD","MAJOR","MED","1993-03-18","PCMLD",43
"1993-03-18","MLD","Documents","MISSING","New_Funct/Rewritten","Documentation","","MLD","MAJOR","LOW","1993-03-18","PCMLD",44
"1993-04-13","UT","Function","INCORRECT","","Usability","","CODE","MAJOR","LOW","1993-04-07","UTNI",45
"1993-04-13","UT","Function","INCORRECT","","Standards","","CLD","MAJOR","MED","1993-04-07","UTNI",46
"1993-04-13","UT","Function","INCORRECT","","Usability","Workload Volume/Stress","CODE","MAJOR","MED","1993-04-07","UTNI",47
"1993-04-13","UT","Function","INCORRECT","","Usability","","CODE","MAJOR","LOW","1993-04-07","UTNI",48
"1993-04-13","UT","Function","INCORRECT","","Reliability/Avail","","CODE","MAJOR","LOW","1993-04-07","UTNI",49
"1993-05-04","UT","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Capability","Workload Volume/Stress","CODE","MAJOR","LOW","1993-05-04","UTNI",50
"1993-05-04","UT","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Capability","Workload Volume/Stress","CODE","MAJOR","LOW","1993-05-04","UTNI",51
"1993-05-04","UT","Interface","INCORRECT","New_Funct/Rewritten","Capability","Workload Volume/Stress","CODE","MAJOR","LOW","1993-05-04","UTNI",52
"1993-05-04","UT","Assignment/Initialization","MISSING","New_Funct/Rewritten","Capability","Workload Volume/Stress","CODE","MAJOR","LOW","1993-05-04","UTNI",53
