Open_Date,Defect_Type,Missing_Incorrect,Defect_Source,Defect_Impact,Defect_Trigger,Phase_Found,Sequence
"1993-05-13","Algorithm","MISSING","Prior_Release","Maintain/Service","","CODE",1
"1993-05-13","Function","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","CODE",2
"1993-06-10","Function","MISSING","New_Funct/Rewritten","Performance","Rare Situation/Side Effects","WLM",3
"1993-07-13","Assignment/Initialization","MISSING","New_Funct/Rewritten","Performance","Workload Volume/Stress","FCT",4
"1993-07-16","Documents","INCORRECT","Reused_Code","Documentation","Bkwd/Lateral Compatibility","WLM",5
"1993-07-16","Build/Package/Merge","INCORRECT","Rollup/Parallel_Development","Installability","","BLD",6
"1993-07-16","Algorithm","MISSING","New_Funct/Rewritten","Capability","","UT",7
"1993-07-19","Build/Package/Merge","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","BLD",8
"1993-07-19","Algorithm","INCORRECT","New_Funct/Rewritten","Capability","Design NonConformance","BLD",9
"1993-07-20","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Capability","","UT",10
"1993-07-21","Build/Package/Merge","INCORRECT","New_Funct/Rewritten","Installability","","BLD",11
"1993-07-21","Algorithm","INCORRECT","New_Funct/Rewritten","Capability","","FCT",12
"1993-07-22","Build/Package/Merge","INCORRECT","New_Funct/Rewritten","Installability","","BLD",13
"1993-07-22","Algorithm","INCORRECT","Reused_Code","Capability","","FCT",14
"1993-07-23","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Usability","","FCT",15
"1993-07-23","Build/Package/Merge","INCORRECT","Rollup/Parallel_Development","Installability","","BLD",16
"1993-07-23","Build/Package/Merge","MISSING","New_Funct/Rewritten","Installability","","WLM",17
"1993-07-23","Interface","INCORRECT","New_Funct/Rewritten","Maintain/Service","Test Sequencing/Interaction","FCT",18
"1993-07-23","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Capability","","WLM",19
"1993-07-23","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Capability","Test Sequencing/Interaction","WLM",20
"1993-07-23","Function","INCORRECT","","Capability","Rare Situation/Side Effects","WLM",21
"1993-07-24","Function","INCORRECT","New_Funct/Rewritten","Capability","","FCT",22
"1993-07-26","Checking","INCORRECT","Rollup/Parallel_Development","Capability","","BLD",23
"1993-07-26","Function","INCORRECT","New_Funct/Rewritten","Capability","","FCT",24
"1993-07-27","Documents","INCORRECT","Prior_Release","Documentation","","BLD",25
"1993-07-27","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Documentation","","FCT",26
"1993-07-28","Interface","INCORRECT","New_Funct/Rewritten","Usability","","WLM",27
"1993-07-28","Function","INCORRECT","New_Funct/Rewritten","Capability","","WLM",28
"1993-07-28","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Capability","","FCT",29
"1993-07-29","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Capability","","ST",30
"1993-07-30","Checking","INCORRECT","New_Funct/Rewritten","Capability","Rare Situation/Side Effects","FCT",31
"1993-07-30","Checking","INCORRECT","New_Funct/Rewritten","Capability","","FCT",32
"1993-08-02","Build/Package/Merge","INCORRECT","Rollup/Parallel_Development","Capability","","ST",33
"1993-08-02","Checking","INCORRECT","New_Funct/Rewritten","Capability","","FCT",34
"1993-08-02","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Usability","","FCT",35
"1993-08-02","Checking","INCORRECT","New_Funct/Rewritten","Usability","","FCT",36
"1993-08-02","Algorithm","INCORRECT","New_Funct/Rewritten","Standards","","FCT",37
"1993-08-03","Algorithm","INCORRECT","New_Funct/Rewritten","Usability","","FCT",38
"1993-08-03","Algorithm","INCORRECT","Prior_Release","Performance","Logic Flow","FCT",39
"1993-08-05","Checking","INCORRECT","New_Funct/Rewritten","Capability","","FCT",40
"1993-08-06","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Usability","","FCT",41
"1993-08-09","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","FCT",42
"1993-08-09","Checking","MISSING","New_Funct/Rewritten","Usability","","FCT",43
"1993-08-09","Timing/Serialization","INCORRECT","New_Funct/Rewritten","Capability","Test Sequencing/Interaction","FCT",44
"1993-08-09","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Capability","","ST",45
"1993-08-10","Algorithm","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","FCT",46
"1993-08-10","Build/Package/Merge","INCORRECT","New_Funct/Rewritten","Installability","","BLD",47
"1993-08-11","Build/Package/Merge","INCORRECT","New_Funct/Rewritten","Documentation","","UT",48
"1993-08-11","Function","INCORRECT","New_Funct/Rewritten","Capability","Test Sequencing/Interaction","FCT",49
"1993-08-11","Assignment/Initialization","MISSING","New_Funct/Rewritten","Documentation","","FCT",50
"1993-08-11","Checking","MISSING","New_Funct/Rewritten","Usability","","FCT",51
"1993-08-11","Interface","INCORRECT","New_Funct/Rewritten","Reliability/Avail","Startup/Restart","ST",52
"1993-08-12","Checking","MISSING","New_Funct/Rewritten","Maintain/Service","Test Coverage/Variation","FCT",53
"1993-08-12","Function","MISSING","Reused_Code","Maintain/Service","Recovery/Exception","WLM",54
"1993-08-17","Checking","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","ST",55
"1993-08-18","Checking","MISSING","New_Funct/Rewritten","Usability","","FCT",56
"1993-08-18","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Usability","","FCT",57
"1993-08-18","Assignment/Initialization","MISSING","New_Funct/Rewritten","Performance","","FCT",58
"1993-08-19","Documents","INCORRECT","New_Funct/Rewritten","Documentation","","FCT",59
"1993-08-19","Documents","INCORRECT","New_Funct/Rewritten","Documentation","","FCT",60
"1993-08-20","Assignment/Initialization","MISSING","Reused_Code","Maintain/Service","","WLM",61
"1993-08-20","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Capability","","ST",62
"1993-08-20","Function","MISSING","New_Funct/Rewritten","Maintain/Service","","FCT",63
"1993-08-20","Checking","INCORRECT","New_Funct/Rewritten","Usability","","FCT",64
"1993-08-20","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Capability","","FCT",65
"1993-08-20","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Usability","","FCT",66
"1993-08-20","Checking","MISSING","New_Funct/Rewritten","Reliability/Avail","","UT",67
"1993-08-23","Documents","INCORRECT","New_Funct/Rewritten","Standards","","FCT",68
"1993-08-23","Assignment/Initialization","MISSING","New_Funct/Rewritten","Capability","","FCT",69
"1993-08-23","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Documentation","","FCT",70
"1993-08-23","Checking","MISSING","New_Funct/Rewritten","Capability","","FCT",71
"1993-08-25","Interface","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","FCT",72
"1993-08-25","Assignment/Initialization","MISSING","New_Funct/Rewritten","Capability","","FCT",73
"1993-08-25","Checking","INCORRECT","New_Funct/Rewritten","Capability","","FCT",74
"1993-08-25","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","UT",75
"1993-08-25","Function","INCORRECT","New_Funct/Rewritten","Usability","","UT",76
"1993-08-25","Assignment/Initialization","MISSING","Reused_Code","Capability","Rare Situation/Side Effects","WLM",77
"1993-08-25","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","FCT",78
"1993-08-30","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Capability","","UT",79
"1993-08-26","Documents","INCORRECT","New_Funct/Rewritten","Documentation","","FCT",80
