Open_Date,Defect_Type,Missing_Incorrect,Defect_Source,Defect_Impact,Defect_Trigger,Phase_Found,Defect_Location,Sequence
"1992-10-30","Function","INCORRECT","","Reliability/Avail","Design NonConformance","MLD","MLD",1
"1992-10-30","Function","INCORRECT","","Reliability/Avail","Design NonConformance","MLD","MLD",2
"1992-10-30","Function","MISSING","","Capability","Design NonConformance","MLD","MLD",3
"1993-02-01","Function","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","CLD","CLD",4
"1993-02-01","Interface","MISSING","New_Funct/Rewritten","Capability","","CLD","CLD",5
"1993-02-01","Function","INCORRECT","New_Funct/Rewritten","Capability","","CLD","CLD",6
"1993-02-01","Function","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","CLD","CLD",7
"1993-02-01","Function","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","CLD","CLD",8
"1993-02-03","Checking","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","CLD","CLD",9
"1993-02-03","Checking","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","CLD","CLD",10
"1993-03-03","Function","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","CLD","CLD",11
"1993-03-03","Function","INCORRECT","New_Funct/Rewritten","Reliability/Avail","","CLD","CLD",12
"1993-03-03","Function","MISSING","New_Funct/Rewritten","Reliability/Avail","","CLD","CLD",13
"1993-03-23","Checking","MISSING","New_Funct/Rewritten","Capability","Design NonConformance","CODE","CODE",14
"1993-03-18","Checking","INCORRECT","New_Funct/Rewritten","Capability","Design NonConformance","CODE","CODE",15
"1993-03-18","Interface","INCORRECT","","Capability","Design NonConformance","CODE","CODE",16
"1993-03-18","Checking","MISSING","New_Funct/Rewritten","Capability","Design NonConformance","CODE","CODE",17
"1993-03-18","Assignment/Initialization","MISSING","New_Funct/Rewritten","Maintain/Service","Design NonConformance","CODE","CODE",18
"1993-03-31","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Reliability/Avail","Logic Flow","CODE","CODE",19
"1993-03-31","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Capability","Rare Situation/Side Effects","CODE","MLD",20
"1993-05-12","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Usability","Design NonConformance","CODE","CODE",21
"1993-05-12","Interface","INCORRECT","New_Funct/Rewritten","Maintain/Service","Design NonConformance","CODE","CODE",22
"1993-05-12","Algorithm","INCORRECT","New_Funct/Rewritten","Maintain/Service","Rare Situation/Side Effects","CODE","CODE",23
"1993-05-12","Checking","MISSING","New_Funct/Rewritten","Maintain/Service","Logic Flow","CODE","CODE",24
"1993-05-12","Algorithm","INCORRECT","New_Funct/Rewritten","Maintain/Service","Logic Flow","CODE","CODE",25
"1993-04-01","Assignment/Initialization","INCORRECT","New_Funct/Rewritten","Capability","Rare Situation/Side Effects","CODE","CODE",26
"1993-03-26","Function","INCORRECT","New_Funct/Rewritten","Reliability/Avail","Design NonConformance","CODE","CODE",27
