Open_Date,Week_No,Defect_Type,Defect_Source,Missing_Incorrect,Sequence
"03-09-1994","Week 1","Assignment","New-Function","Missing",1
"03-09-1994","Week 1","Checking","Old-Function","Incorrect",2
"03-09-1994","Week 1","Checking","New-Function","Missing",3
"03-09-1994","Week 1","Algorithm","Old-Function","Incorrect",4
"03-09-1994","Week 1","Interface","New-Function","Incorrect",5
"03-09-1994","Week 1","Bld/Pkg/Mrg","Old-Function","Missing",6
"03-09-1994","Week 1","Bld/Pkg/Mrg","Old-Function","Missing",7
"03-09-1994","Week 1","Interface","New-Function","Incorrect",8
"03-09-1994","Week 1","Interface","New-Function","Incorrect",9
"03-09-1994","Week 1","Assignment","New-Function","Incorrect",10
"03-09-1994","Week 1","Assignment","New-Function","Missing",11
"03-09-1994","Week 1","Assignment","New-Function","Incorrect",12
"03-09-1994","Week 1","Assignment","New-Function","Incorrect",13
"03-09-1994","Week 1","Bld/Pkg/Mrg","New-Function","Missing",14
"03-14-1994","Week 2","Algorithm","Old-Function","Incorrect",15
"03-14-1994","Week 2","Bld/Pkg/Mrg","Old-Function","Incorrect",16
"03-14-1994","Week 2","Bld/Pkg/Mrg","Old-Function","Incorrect",17
"03-14-1994","Week 2","Bld/Pkg/Mrg","Old-Function","Incorrect",18
"03-14-1994","Week 2","Assignment","New-Function","Missing",19
"03-14-1994","Week 2","Bld/Pkg/Mrg","Old-Function","Missing",20
"03-14-1994","Week 2","Bld/Pkg/Mrg","Old-Function","Incorrect",21
"03-14-1994","Week 2","Bld/Pkg/Mrg","Old-Function","Incorrect",22
"03-14-1994","Week 2","Bld/Pkg/Mrg","New-Function","Incorrect",23
"03-14-1994","Week 2","Assignment","Old-Function","Missing",24
"03-14-1994","Week 2","Bld/Pkg/Mrg","Old-Function","Missing",25
"03-14-1994","Week 2","Bld/Pkg/Mrg","Old-Function","Incorrect",26
"03-14-1994","Week 2","Bld/Pkg/Mrg","ReFixed-Code","Missing",27
"03-14-1994","Week 2","Assignment","Reused-Code","Incorrect",28
"03-14-1994","Week 2","Algorithm","Old-Function","Incorrect",29
"03-14-1994","Week 2","Bld/Pkg/Mrg","Old-Function","Missing",30
"03-14-1994","Week 2","Assignment","New-Function","Incorrect",31
"03-14-1994","Week 2","Assignment","New-Function","Incorrect",32
"03-14-1994","Week 2","Assignment","New-Function","Incorrect",33
"03-14-1994","Week 2","Assignment","New-Function","Missing",34
"03-14-1994","Week 2","Checking","New-Function","Missing",35
"03-14-1994","Week 2","Interface","Old-Function","Missing",36
"03-14-1994","Week 2","Assignment","New-Function","Incorrect",37
"03-14-1994","Week 2","Function","New-Function","Missing",38
"03-14-1994","Week 2","Function","New-Function","Missing",39
"03-14-1994","Week 2","Assignment","Old-Function","Incorrect",40
"03-14-1994","Week 2","Function","New-Function","Missing",41
