hours,defects
504,1
2520,3
5040,10
8568,13
14448,17
21504,31
28392,44
38304,48
49056,53
60984,61
73752,65
87192,79
102144,85
117936,93
134400,100
151032,108
168000,111
187320,126
208992,134
232344,142
257544,150
283584,156
312144,167
341376,174
370608,183
400848,192
431424,197
462168,204
493416,209
523656,212
551712,224
579264,231
605808,234
631512,241
656040,242
680064,243
703752,246
726936,249
749616,253
771288,258
792792,267
813792,270
834456,275
854616,280
874104,286
893424,289
913248,293
933240,302
952896,309
972720,315
991536,317
1009848,320
1027656,323
1045296,326
1062600,330
1080072,331
1095864,333
1111488,334
1126776,335
1141896,335
1157184,336
1172472,339
1187592,341
1202712,342
1217664,349
1232616,352
1247064,352
1261344,353
1275456,356
1289568,357
1303512,358
1317624,359
1331568,360
