Faults,Test_hours
1,1.1
2,2.2
3,2.278
4,2.356
5,2.434
6,2.512
7,2.59
8,2.668
9,2.746
10,2.824
11,2.9
12,3.133
13,3.366
14,3.6
15,7
16,7.6
17,8.05
18,8.071
19,8.092
20,8.113
21,8.134
22,8.155
23,8.176
24,8.2
25,8.426
26,8.652
27,8.878
28,9.104
29,9.33
30,11.035
31,12.74
32,13.305
33,13.87
34,14.096
35,14.322
36,14.548
37,14.774
38,15
39,16.698
40,16.866
41,17.034
42,17.202
43,17.37
44,17.54
45,17.922
46,18.304
47,18.686
48,19.07
49,19.325
50,19.58
51,19.835
52,20.09
53,20.345
54,20.6
55,21.162
56,21.724
57,22.286
58,22.85
59,23.412
60,23.974
61,24.536
62,25.1
63,31.3
64,36.22
65,36.32
66,36.42
67,36.52
68,36.62
69,36.72
70,37.925
71,39.13
72,39.933
73,40.736
74,41.54
75,42.343
76,43.146
77,43.95
78,45.155
79,46.36
80,47.565
81,48.77
82,50.215
83,50.43
84,50.645
85,50.86
86,51.075
87,51.29
88,51.505
89,51.72
90,51.935
91,52.15
92,52.365
93,52.58
94,52.8
95,53.733
96,54.666
97,55.6
98,56.3
99,57
100,62.6
101,63.326
102,64.052
103,64.778
104,65.504
105,66.23
106,67.617
107,68.524
108,69.431
109,70.34
110,71.87
111,75.5
112,76.433
113,77.366
114,78.3
115,79.1
116,79.9
117,80.7
118,82.36
