Tester_Days,Faults,NCNCSL
0,0,0
4.8,0,16012
6,0,16012
6,0,16012
14.3,7,32027
22.8,7,48042
32.1,7,58854
41.4,7,69669
51.2,11,80483
51.2,11,80483
51.2,11,80483
60.6,12,91295
70,13,102110
79.9,15,112925
91.3,20,120367
97,21,127812
97,21,127812
97,21,127812
97,21,127812
107.7,22,135257
119.1,28,142702
127.6,40,150147
135.1,44,152806
135.1,44,152806
135.1,44,152806
142.8,46,155464
148.9,48,158123
156.6,52,160781
163.9,52,167704
169.7,59,174626
170.1,59,174626
170.6,59,174626
174.7,63,181548
179.6,68,188473
185.5,71,194626
194,88,200782
200.3,93,206937
200.3,93,206937
200.3,93,206937
207.2,97,213093
211.9,98,219248
217,105,221355
223.5,113,223462
227,113,225568
227,113,225568
227,113,225568
234.1,122,227675
241.6,129,229784
250.7,141,233557
259.8,155,237330
268.3,166,241103
268.3,166,241103
268.3,166,241103
277.2,178,244879
285.5,186,247946
294.2,190,251016
295.7,190,251016
298,190,254086
298,190,254086
298,190,254086
305.2,195,257155
312.3,201,260225
318.2,209,260705
328.9,224,261188
334.8,231,261669
334.8,231,261669
334.8,231,261669
342.7,243,262889
350.5,252,263629
356.3,259,264367
360.6,271,265107
365.7,277,265845
365.7,277,265845
365.7,277,265845
374.9,282,266585
386.5,290,267325
396.5,300,268607
408,310,269891
417.3,312,271175
417.3,312,271175
417.3,312,271175
424.9,321,272457
434.2,326,273741
442.7,339,275025
451.4,346,276556
456.1,347,278087
456.1,347,278087
456.1,347,278087
460.8,351,279618
466,356,281149
472.3,359,283592
476.4,362,286036
480.9,367,288480
480.9,367,288480
480.9,367,288480
486.8,374,290923
495.8,376,293367
505.7,380,295811
516,392,298254
526.2,399,300698
527.3,401,300698
527.3,401,300698
535.8,405,303142
546.3,415,304063
556.1,425,305009
568.1,440,305956
577.2,457,306902
578.3,457,306902
578.3,457,306902
587.2,467,307849
595.5,473,308795
605.6,480,309742
613.9,491,310688
621.6,496,311635
621.6,496,311635
621.6,496,311635
623.4,496,311635
636.3,502,311750
649.7,517,311866
663.9,527,312467
675.1,540,313069
677.4,543,313069
677.9,544,313069
688.4,553,313671
698.1,561,314273
710.5,573,314783
720.9,581,315294
731.6,584,315805
732.7,585,315805
733.6,585,315805
746.7,586,316316
761,598,316827
776.5,612,318476
793.5,621,320125
807.2,636,321774
811.8,639,321774
812.5,639,321774
829,648,323423
844.4,658,325072
860.5,666,326179
876.7,674,327286
892,679,328393
895.5,686,328393
895.5,686,328393
910.8,690,329500
925.1,701,330608
938.3,710,330435
952,720,330263
965,729,330091
967.7,729,330091
968.6,731,330091
981.3,740,329919
997,749,329747
1013.9,759,330036
1030.1,776,330326
1044,781,330616
1047,782,330616
1047,782,330616
1059.7,783,330906
1072.6,787,331196
1085.7,793,331486
1098.4,796,331577
1112.4,797,331669
1113.5,798,331669
1114.1,798,331669
1128,802,331760
1139.1,805,331852
1151.4,811,331944
1163.2,823,332167
1174.3,827,332391
1174.3,827,332391
1174.3,827,332391
1184.6,832,332615
1198.3,834,332839
1210.3,836,333053
1221.1,839,333267
1230.5,842,333481
1231.6,842,333481
1231.6,842,333481
1240.9,844,333695
1249.5,845,333909
1262.2,849,335920
1271.3,851,337932
1279.8,854,339943
1281,854,339943
1281,854,339943
1287.4,855,341955
1295.1,859,341967
1304.8,860,341979
1305.8,865,342073
1313.3,867,342168
1314.4,867,342168
1314.4,867,342168
1320,867,342262
1325.3,867,342357
1330.6,870,342357
1334.2,870,342358
1336.7,870,342358
