Day,Faults,Testers
1,5,4
2,5,4
3,5,4
4,5,4
5,6,4
6,8,5
7,2,5
8,7,5
9,4,5
10,2,5
11,31,5
12,4,5
13,24,5
14,49,5
15,14,5
16,12,5
17,8,5
18,9,5
19,4,5
20,7,5
21,6,5
22,9,5
23,4,5
24,4,5
25,2,5
26,4,5
27,3,5
28,9,6
29,2,6
30,5,6
31,4,6
32,1,6
33,4,6
34,3,6
35,6,6
36,13,6
37,19,8
38,15,8
39,7,8
40,15,8
41,21,8
42,8,8
43,6,8
44,20,8
45,10,8
46,3,8
47,3,8
48,8,4
49,5,4
50,1,4
51,2,4
52,2,4
53,2,4
54,7,4
55,2,4
56,0,4
57,2,4
58,3,4
59,2,4
60,7,4
61,3,4
62,0,4
63,1,4
64,0,4
65,1,4
66,0,3
67,0,3
68,1,3
69,1,3
70,0,3
71,0,3
72,1,3
73,1,4
74,0,4
75,0,4
76,0,4
77,1,4
78,2,2
79,0,2
80,1,2
81,0,2
82,0,2
83,0,2
84,0,2
85,0,2
86,0,2
87,2,2
88,0,2
89,0,2
90,0,2
91,0,2
92,0,2
93,0,2
94,0,2
95,0,2
96,1,2
97,0,2
98,0,2
99,0,2
100,1,2
101,0,1
102,0,1
103,1,1
104,0,1
105,0,1
106,1,1
107,0,1
108,0,1
109,1,1
110,0,1
111,1,1
