Day,Cum_faults
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,2
16,2
17,3
18,3
19,3
20,3
21,3
22,3
23,3
24,3
25,3
26,3
27,3
28,3
29,3
30,3
31,3
32,3
33,3
34,3
35,3
36,3
37,3
38,3
39,3
40,4
41,4
42,4
43,4
44,5
45,5
46,5
47,5
48,5
49,5
50,5
51,5
52,5
53,5
54,5
55,6
56,6
57,9
58,9
59,9
60,11
61,13
62,13
63,15
64,16
65,16
66,16
67,16
68,18
69,20
70,20
71,20
72,20
73,20
74,20
75,20
76,20
77,21
78,21
79,21
80,21
81,21
82,21
83,21
84,21
85,21
86,22
87,24
88,24
89,24
90,25
91,25
92,25
93,25
94,25
95,25
96,27
97,27
98,27
99,27
100,27
101,27
102,27
103,27
104,27
105,28
106,28
107,28
108,28
109,28
110,28
111,28
112,29
113,29
114,29
115,30
116,30
117,30
118,30
119,30
120,30
121,30
122,30
123,30
124,30
125,32
126,34
127,34
128,35
129,36
130,36
131,36
132,36
133,37
134,38
135,39
136,39
137,39
138,39
139,39
140,40
141,42
142,42
143,45
144,46
145,47
146,47
147,48
148,49
149,50
150,51
151,50
152,50
153,50
154,51
155,51
156,51
157,51
158,51
159,51
160,52
161,52
162,53
163,53
164,53
165,53
166,53
167,53
168,53
169,33
170,53
171,53
172,53
173,53
174,53
175,53
176,53
177,53
178,54
179,54
180,54
181,54
182,54
183,55
184,55
185,55
186,55
187,55
188,55
189,55
190,55
191,55
192,55
193,55
194,55
195,55
196,55
197,55
198,55
199,55
