Day,Cum_faults,Testers
1,4,1
2,4,1
3,11,1
4,21,1
5,34,1
6,42,1
7,55,1
8,59,1
9,66,1
10,74,1
11,75,1
12,81,1
13,94,1
14,101,1
15,110,1
16,118,2
17,123,2
18,133,2
19,140,2
20,151,2
21,156,2
22,164,2
23,177,2
24,186,2
25,193,2
26,200,2
27,205,2
28,212,1
29,218,1
30,224,1
31,228,1
32,240,2
33,246,2
34,253,2
35,261,2
36,272,2
37,278,2
38,287,2
39,294,2
40,306,2
41,318,2
42,333,2
43,347,2
44,354,2
45,363,2
46,374,2
47,379,2
48,386,2
49,393,2
50,407,2
51,420,2
52,434,2
53,445,1
54,447,1
55,451,2
56,455,2
57,458,2
58,464,2
59,470,2
60,473,2
61,473,1
62,473,1
63,476,1
64,476,1
65,480,1
66,480,1
67,481,1
68,483,1
69,483,2
70,484,2
71,486,2
72,491,2
73,494,2
74,496,2
75,497,2
76,508,2
77,509,2
78,509,2
79,511,2
80,513,2
81,517,2
82,518,2
83,518,2
84,522,2
85,523,1
86,524,1
87,524,1
88,526,3
89,536,1
90,526,2
91,527,1
92,528,1
93,528,1
94,528,2
95,528,1
96,528,1
97,529,2
98,529,1
99,530,1
100,530,1
101,530,1
102,530,2
103,530,1
104,532,1
105,532,1
106,533,2
107,533,2
108,535,2
109,535,2
