Date,Cum_Faults
19870112,1
19870409,2
19870902,4
19870920,5
19870922,6
19870924,7
19870925,9
19870926,10
19870930,11
19871001,13
19871007,14
19871008,15
19871012,16
19871013,17
19871015,18
19871016,19
19871017,21
19871020,24
19871022,26
19871023,29
19871025,30
19871028,33
19871030,34
19871102,36
19871107,37
19871109,38
19871110,39
19871111,40
19871112,41
19871113,42
19871114,44
19871115,45
19871117,46
19871120,47
19871122,48
19871125,49
19871128,50
19871207,54
19871208,56
19871209,60
19871211,63
19871214,65
19871216,67
19871217,68
19871222,69
19871224,70
19880104,71
19880109,72
19880114,73
19880115,74
19880117,75
19880125,76
19880215,77
19880217,79
19880222,80
19880227,81
19880229,82
19880301,83
19880307,84
19880309,85
19880315,86
19880320,87
19880322,90
19880323,91
19880325,92
19880331,93
19880404,94
19880406,95
19880408,97
19880411,98
19880418,99
19880418,100
19880419,101
19880421,102
19880425,106
19880426,107
19880427,108
19880428,109
19880504,110
19880506,112
19880508,113
19880510,114
19880511,116
19880516,117
19880521,118
19880523,119
19880602,120
19880605,121
19880609,123
19880611,124
19880614,125
19880625,126
19880628,127
19880629,128
19880630,129
19880711,130
19880724,131
19880726,135
19880729,137
19880805,138
19880817,139
19880823,140
19880826,143
19880831,144
19880902,145
19880911,146
19880928,147
19881009,148
19881022,159
19881026,160
19881029,161
19881120,163
19881123,164
19881130,165
19881215,166
