image_path,folder_label,source_dataset
C:\laragon\www\stylistv2\data\external\electronic_components\armature\armature-coil001.jpg,armature,Electronic components and devices (aryaminus)
C:\laragon\www\stylistv2\data\external\electronic_components\armature\armature-coil002.jpg,armature,Electronic components and devices (aryaminus)
C:\laragon\www\stylistv2\data\external\electronic_components\armature\armature-coil003.jpg,armature,Electronic components and devices (aryaminus)
C:\laragon\www\stylistv2\data\external\electronic_components\armature\armature-coil004.jpg,armature,Electronic components and devices (aryaminus)
C:\laragon\www\stylistv2\data\external\electronic_components\armature\armature-coil005.jpg,armature,Electronic components and devices (aryaminus)
C:\laragon\www\stylistv2\data\external\electronic_components\armature\armature-coil006.jpg,armature,Electronic components and devices (aryaminus)
C:\laragon\www\stylistv2\data\external\electronic_components\armature\armature-coil007.jpg,armature,Electronic components and devices (aryaminus)
C:\laragon\www\stylistv2\data\external\electronic_components\armature\armature-coil008.jpg,armature,Electronic components and devices (aryaminus)
C:\laragon\www\stylistv2\data\external\electronic_components\armature\armature-coil009.jpg,armature,Electronic components and devices (aryaminus)
C:\laragon\www\stylistv2\data\external\electronic_components\armature\armature-coil010.jpg,armature,Electronic components and devices (aryaminus)
C:\laragon\www\stylistv2\data\external\electronic_components\armature\armature-coil011.jpg,armature,Electronic components and devices (aryaminus)
C:\laragon\www\stylistv2\data\external\electronic_components\armature\armature-coil012.jpg,armature,Electronic components and devices (aryaminus)
C:\laragon\www\stylistv2\data\external\electronic_components\armature\armature-coil013.jpg,armature,Electronic components and devices (aryaminus)
C:\laragon\www\stylistv2\data\external\electronic_components\armature\armature-coil014.jpg,armature,Electronic components and devices (aryaminus)
C:\laragon\www\stylistv2\data\external\electronic_components\armature\armature-coil015.jpg,armature,Electronic components and devices (aryaminus)
C:\laragon\www\stylistv2\data\external\electronic_components\armature\armature-coil016.jpg,armature,Electronic components and devices (aryaminus)
C:\laragon\www\stylistv2\data\external\electronic_components\armature\armature-coil017.jpg,armature,Electronic components and devices (aryaminus)
C:\laragon\www\stylistv2\data\external\electronic_components\armature\armature-coil018.jpg,armature,Electronic components and devices (aryaminus)
C:\laragon\www\stylistv2\data\external\electronic_components\armature\armature-coil019.jpg,armature,Electronic components and devices (aryaminus)
C:\laragon\www\stylistv2\data\external\electronic_components\armature\armature-coil020.jpg,armature,Electronic components and devices (aryaminus)
C:\laragon\www\stylistv2\data\external\electronic_components\armature\armature-coil021.jpg,armature,Electronic components and devices (aryaminus)
C:\laragon\www\stylistv2\data\external\electronic_components\armature\armature-coil022.jpg,armature,Electronic components and devices (aryaminus)
C:\laragon\www\stylistv2\data\external\electronic_components\armature\armature-coil023.jpg,armature,Electronic components and devices (aryaminus)
C:\laragon\www\stylistv2\data\external\electronic_components\armature\armature-coil024.jpg,armature,Electronic components and devices (aryaminus)
C:\laragon\www\stylistv2\data\external\electronic_components\armature\armature-coil025.jpg,armature,Electronic components and devices (aryaminus)
C:\laragon\www\stylistv2\data\external\electronic_components\armature\armature-coil026.jpg,armature,Electronic components and devices (aryaminus)
C:\laragon\www\stylistv2\data\external\electronic_components\armature\armature-coil027.jpg,armature,Electronic components and devices (aryaminus)
C:\laragon\www\stylistv2\data\external\electronic_components\armature\armature-coil028.jpg,armature,Electronic components and devices (aryaminus)
C:\laragon\www\stylistv2\data\external\electronic_components\armature\armature-coil029.jpg,armature,Electronic components and devices (aryaminus)
C:\laragon\www\stylistv2\data\external\electronic_components\armature\armature-coil030.jpg,armature,Electronic components and devices (aryaminus)
C:\laragon\www\stylistv2\data\external\electronic_components\armature\armature-coil031.jpg,armature,Electronic components and devices (aryaminus)
C:\laragon\www\stylistv2\data\external\electronic_components\armature\armature-coil032.jpg,armature,Electronic components and devices (aryaminus)
C:\laragon\www\stylistv2\data\external\electronic_components\armature\armature-coil033.jpg,armature,Electronic components and devices (aryaminus)
C:\laragon\www\stylistv2\data\external\electronic_components\armature\armature-coil034.jpg,armature,Electronic components and devices (aryaminus)
C:\laragon\www\stylistv2\data\external\electronic_components\armature\armature-coil035.jpg,armature,Electronic components and devices (aryaminus)
