text,fault_category,source_dataset,source_file
Corsair Cooling Hydro Series H100i Pro,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
Corsair Cooling Hydro Series H115i PRO,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
"Corsair Cooling Hydro Series H150i PRO , RGB",overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
"Noctua NH-U9S 92mm SSO2 U-Type Premium , NF-A9 PWM Fans, Retail",overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
Thermalright Silver Arrow IB-E Extreme Cooler,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
Akasa Aluminium Kühler 50mm Fan socket A,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
Alpenföhn Panorama - 100mm,ram_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
ARCTIC COOLING ACALP11-PRO-R2 92mm Fluid Dynamic Alpine 11 Pro Rev. 2 for Intel,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
ARCTIC COOLING ACALP64 Pro 92mm,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
ARCTIC COOLING ACALP64-GT 80mm Alpine 64 GT,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
ARCTIC COOLING ACFZ11-LP 92mm Fluid Dynamic Freezer 11 LP Intel for Power Users,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
ARCTIC COOLING ACFZ13 92mm High Performance for Intel and AMD,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
ARCTIC COOLING Freezer 7 Pro Rev.2 92mm Fluid Dynamic,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
ARCTIC COOLING Freezer A32 120mm Fluid Dynamic with 120 mm Fan for AMD with New Fan Controller Made in Germany and PWM PST,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
ARCTIC COOLING UCACO-FA11001-CSA01 92mm,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
ARCTIC COOLING UCACO-FI11001-CSA01 92mm,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
ARCTIC COOLING UCACO-P0900-CSB01 120mm Fluid Dynamic Bearing,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
Cooler Master Hyper 212X - with Dual 120mm PWM Fan,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
Corsair Cooling Hydro Series H100i Platinum,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
Corsair Cooling Hydro Series H100i Platinum SE,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
Corsair Cooling Hydro Series H115i Platinum,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
Corsair Cooling Hydro Series H45,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
Corsair Cooling Hydro Series H55,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CPUCoolerData.csv
